scale,method,n_subjects,n_arms,n_trials,execution_time,memory_used,compilation_time,success_rate,throughput,thread_count,timestamp,correlation_Q0,correlation_α,correlation_αm,correlation_β,correlation_αf,correlation_μ,correlation_τ,correlation_φ,correlation_C0,correlation_η,correlation_ν
Small,CPU(1-thread),50,4,100,55.421227542,17.37470245361328,0.0018498897552490234,0.86,90.21813882074045,1,2025-07-05T23:16:28.564,0.033271719350932184,0.013289775958669856,-0.11322191813239249,0.14990736473507293,-0.18607025128966542,0.04884209908376924,-0.09191303790848618,0.23392379938289545,-0.23440558566683692,0.23072555279527526,0.01440466385640158
Small,CPU(8-threads),50,4,100,17.994671416,5.53778076171875,0.0019538402557373047,0.86,277.86003336266754,8,2025-07-05T23:16:28.564,-0.1723400348460076,0.08042179728595636,-0.25716518312183545,-0.2568427481537029,-0.26423327074501235,-0.20020555578969726,0.23740000878728648,0.30441306683994096,0.11183719103300618,0.12538891468532168,-0.17755747937166239
Small,GPU,50,4,100,119.975240417,6.158592224121094,0.001157999038696289,1.0,41.67526551829706,1,2025-07-05T23:16:28.564,0.0727433806452894,0.248172148526231,0.05880662960906703,-0.0522558775302774,0.017269178149923767,0.16072366054886064,-0.04926982594870785,0.41059445182352816,0.04558374004131817,0.05931250530221223,0.05021982749242782
Medium,CPU(1-thread),150,4,150,218.787077208,20.73548126220703,1.9073486328125e-6,0.84,102.83971195707021,1,2025-07-05T23:19:42.364,-0.008525791439613177,0.09501651508575884,-0.14560959487637806,0.048460541231579446,-0.07910504385521253,0.06427488964212444,0.07376535763919423,0.16258245610211383,-0.033722492950545295,-0.12926707518151517,-0.07062086486868764
Medium,CPU(8-threads),150,4,150,60.168702375,17.14410400390625,2.86102294921875e-6,0.84,373.948566478454,8,2025-07-05T23:19:42.364,0.11356229979991732,0.1397209027662771,-0.06735883064785979,0.02034464192039712,0.047168985102467365,0.0559450159464892,-0.037594563338668875,0.12899161319251531,0.0978066964019148,-0.10142071884368234,-0.04849187334708626
Medium,GPU,150,4,150,437.570912584,2.658782958984375,1.9073486328125e-6,1.0,51.42023693286674,1,2025-07-05T23:19:42.364,0.12226412897460456,0.08974980944221378,0.20540703430825805,0.03227116649673521,0.24617885216066643,0.2415031167270854,-0.08376846365515957,0.4741895301963886,0.030654835232058066,0.1622810869150237,-0.012375916884822386
Large,CPU(1-thread),300,4,200,484.988838291,16.49199676513672,1.9073486328125e-6,0.8133333333333334,123.71418734383155,1,2025-07-05T23:31:39.060,-0.10484058349979652,-0.06885208879333159,-0.05357464001368357,0.08568742194331978,0.06390619109455607,0.04918439515759666,0.04427054103840026,0.10120615029091891,-0.04216475596450682,0.10839258746931955,-0.10537542922167023
Large,CPU(8-threads),300,4,200,159.310214541,42.43694305419922,2.86102294921875e-6,0.8033333333333333,376.62368463234,8,2025-07-05T23:31:39.060,0.03486004617218094,0.08164914273448627,-0.031035678102750233,-0.06835462448590639,-0.10560263922203064,0.09742689085839362,0.07308470594749972,0.0046576506634765456,-0.06418065804848423,-0.005563443487007095,-0.003078470088253153
Large,GPU,300,4,200,1173.277548833,3.11822509765625,1.9073486328125e-6,1.0,51.13879495919697,1,2025-07-05T23:31:39.060,-0.05543029374496711,0.1178355481823689,0.15883669087610908,0.23833100426449938,0.09281595648036807,-0.015915492028577994,-0.030643389421900084,0.46451252543270494,-0.012021285943993413,0.14185291481811205,-0.042213284967339434
Extra-Large,CPU(1-thread),500,4,250,1046.530538042,29.48004913330078,3.0994415283203125e-6,0.794,119.44228616000828,1,2025-07-06T00:01:56.792,0.07589704528933806,-0.0639169513881799,-0.02027838538791231,0.06739971790619809,0.04895244392276022,0.016993661272116812,0.05220449174232348,0.08670767477083806,-0.07673355842198223,-0.07773745206785403,-0.04103272706104164
Extra-Large,CPU(8-threads),500,4,250,294.191397125,20.190475463867188,2.86102294921875e-6,0.832,424.89345786983813,8,2025-07-06T00:01:56.792,-0.018652575994079396,0.05982091201060351,-0.08556227516299196,0.013637489377297522,-0.08081972220872967,0.04792293830714377,0.07215847424614519,0.10123416256307191,-0.05556415712204558,0.02047276078786361,-0.04685092112503301
Extra-Large,GPU,500,4,250,2343.377998292,5.861419677734375,3.0994415283203125e-6,1.0,53.34179978266749,1,2025-07-06T00:01:56.792,0.07643962551812095,0.08974677253686125,0.137716880510302,0.06161632395675542,0.046888874747966006,0.08335346567676587,-0.0999993450913986,0.3745561902747837,0.01773068670938033,0.11157048519989031,0.11619804792543487
