scale,repetition,method,execution_time,success_rate,throughput,memory_used,timestamp
Large,1,CPU(1),255.310079458,0.825,117.50417399770218,31.875015258789062,2025-07-06T11:29:45.363
Large,1,CPU(8),80.830944417,0.81,371.1449892906427,29.943138122558594,2025-07-06T11:29:45.363
Large,1,GPU,74.39483875,0.81,403.25378082763837,18.686912536621094,2025-07-06T11:29:45.363
Large,2,CPU(1),233.7691255,0.81,128.33174584468384,40.00177001953125,2025-07-06T11:29:45.363
Large,2,CPU(8),90.013187,0.795,333.28449974779807,32.03593444824219,2025-07-06T11:29:45.363
Large,2,GPU,87.204284708,0.795,344.019793298618,33.527496337890625,2025-07-06T11:29:45.363
Large,3,CPU(1),182.631013667,0.835,164.26563811719546,10.335556030273438,2025-07-06T11:29:45.363
Large,3,CPU(8),97.393544708,0.805,308.0286284881032,24.86846923828125,2025-07-06T11:29:45.363
Large,3,GPU,99.777934041,0.805,300.66768056825697,19.09136962890625,2025-07-06T11:29:45.363
Very-Large,1,CPU(1),883.11694575,0.79,113.23528608668417,26.09674072265625,2025-07-06T11:29:45.363
Very-Large,1,CPU(8),206.874681208,0.814,483.3844306904625,30.323928833007812,2025-07-06T11:29:45.363
Very-Large,1,GPU,198.631908417,0.814,503.4437860309127,10.287612915039062,2025-07-06T11:29:45.363
Very-Large,2,CPU(1),771.557007459,0.802,129.60805103609135,49.43609619140625,2025-07-06T11:29:45.363
Very-Large,2,CPU(8),223.618623291,0.804,447.1899456686473,15.403839111328125,2025-07-06T11:29:45.363
Very-Large,2,GPU,213.550746292,0.804,468.2727723332998,26.008544921875,2025-07-06T11:29:45.363
Very-Large,3,CPU(1),1059.090303292,0.83,94.42065486688642,18.211517333984375,2025-07-06T11:29:45.363
Very-Large,3,CPU(8),244.246988875,0.828,409.4216287398233,14.137290954589844,2025-07-06T11:29:45.363
Very-Large,3,GPU,246.520857042,0.828,405.6451904309375,13.507743835449219,2025-07-06T11:29:45.363
Massive,1,CPU(1),2203.697112625,0.79,113.44571745715317,11.618804931640625,2025-07-06T11:29:45.363
Massive,1,CPU(8),426.348342708,0.822,586.3749778223519,37.884368896484375,2025-07-06T11:29:45.363
Massive,1,GPU,421.905933083,0.822,592.5491451925575,30.366744995117188,2025-07-06T11:29:45.363
Massive,2,CPU(1),2171.879500209,0.809,115.10767516150987,21.22015380859375,2025-07-06T11:29:45.363
Massive,2,CPU(8),454.95313175,0.81,549.5071526123196,11.462615966796875,2025-07-06T11:29:45.363
Massive,2,GPU,467.098398666,0.81,535.2191330862669,12.6959228515625,2025-07-06T11:29:45.363
Massive,3,CPU(1),1927.703560958,0.809,129.68798992919787,33.53001403808594,2025-07-06T11:29:45.363
Massive,3,CPU(8),407.597435708,0.81,613.3502767644944,39.694488525390625,2025-07-06T11:29:45.363
Massive,3,GPU,405.68825075,0.81,616.2367274325112,30.263504028320312,2025-07-06T11:29:45.363
